1,2,3,4,g,6,t,8,col_value
braided,4.2,atoms,gamma:,0,varphi:,0,pingjunzhi:,0
braided,4.2,atoms,gamma:,0,varphi:,0.002,pingjunzhi:,1.41E-07
braided,4.2,atoms,gamma:,0,varphi:,0.004,pingjunzhi:,6.41E-07
braided,4.2,atoms,gamma:,0,varphi:,0.006,pingjunzhi:,1.30E-06
braided,4.2,atoms,gamma:,0,varphi:,0.008,pingjunzhi:,3.01E-06
braided,4.2,atoms,gamma:,0,varphi:,0.01,pingjunzhi:,3.90E-06
braided,4.2,atoms,gamma:,0,varphi:,0.012,pingjunzhi:,5.49E-06
braided,4.2,atoms,gamma:,0,varphi:,0.014,pingjunzhi:,8.20E-06
braided,4.2,atoms,gamma:,0,varphi:,0.016,pingjunzhi:,8.42E-06
braided,4.2,atoms,gamma:,0,varphi:,0.018,pingjunzhi:,1.08E-05
braided,4.2,atoms,gamma:,0,varphi:,0.02,pingjunzhi:,1.66E-05
braided,4.2,atoms,gamma:,0,varphi:,0.022,pingjunzhi:,1.78E-05
braided,4.2,atoms,gamma:,0,varphi:,0.024,pingjunzhi:,2.23E-05
braided,4.2,atoms,gamma:,0,varphi:,0.026,pingjunzhi:,2.56E-05
braided,4.2,atoms,gamma:,0,varphi:,0.028,pingjunzhi:,3.44E-05
braided,4.2,atoms,gamma:,0,varphi:,0.03,pingjunzhi:,3.57E-05
braided,4.2,atoms,gamma:,0,varphi:,0.032,pingjunzhi:,2.98E-05
braided,4.2,atoms,gamma:,0,varphi:,0.034,pingjunzhi:,4.14E-05
braided,4.2,atoms,gamma:,0,varphi:,0.036,pingjunzhi:,5.13E-05
braided,4.2,atoms,gamma:,0,varphi:,0.038,pingjunzhi:,5.30E-05
braided,4.2,atoms,gamma:,0,varphi:,0.04,pingjunzhi:,6.28E-05
braided,4.2,atoms,gamma:,0,varphi:,0.042,pingjunzhi:,5.12E-05
braided,4.2,atoms,gamma:,0,varphi:,0.044,pingjunzhi:,5.65E-05
braided,4.2,atoms,gamma:,0,varphi:,0.046,pingjunzhi:,7.78E-05
braided,4.2,atoms,gamma:,0,varphi:,0.048,pingjunzhi:,0.000106367
braided,4.2,atoms,gamma:,0,varphi:,0.05,pingjunzhi:,9.81E-05
braided,4.2,atoms,gamma:,0,varphi:,0.052,pingjunzhi:,9.65E-05
braided,4.2,atoms,gamma:,0,varphi:,0.054,pingjunzhi:,0.000132133
braided,4.2,atoms,gamma:,0,varphi:,0.056,pingjunzhi:,0.000146553
braided,4.2,atoms,gamma:,0,varphi:,0.058,pingjunzhi:,0.000127099
braided,4.2,atoms,gamma:,0,varphi:,0.06,pingjunzhi:,0.000127239
braided,4.2,atoms,gamma:,0,varphi:,0.062,pingjunzhi:,0.000146549
braided,4.2,atoms,gamma:,0,varphi:,0.064,pingjunzhi:,0.00015172
braided,4.2,atoms,gamma:,0,varphi:,0.066,pingjunzhi:,0.000170876
braided,4.2,atoms,gamma:,0,varphi:,0.068,pingjunzhi:,0.000166681
braided,4.2,atoms,gamma:,0,varphi:,0.07,pingjunzhi:,0.000216202
braided,4.2,atoms,gamma:,0,varphi:,0.072,pingjunzhi:,0.00016625
braided,4.2,atoms,gamma:,0,varphi:,0.074,pingjunzhi:,0.000223699
braided,4.2,atoms,gamma:,0,varphi:,0.076,pingjunzhi:,0.000227355
braided,4.2,atoms,gamma:,0,varphi:,0.078,pingjunzhi:,0.000187918
braided,4.2,atoms,gamma:,0,varphi:,0.08,pingjunzhi:,0.000245966
braided,4.2,atoms,gamma:,0,varphi:,0.082,pingjunzhi:,0.000283245
braided,4.2,atoms,gamma:,0,varphi:,0.084,pingjunzhi:,0.000247345
