1,2,3,4,t,6,g,8,col_value
markov,N:,3,t:,0,g:,0,pingjunzhi:,0.00000E+00
markov,N:,3,t:,0,g:,0.005,pingjunzhi:,1.83730E-08
markov,N:,3,t:,0,g:,0.01,pingjunzhi:,6.20157E-08
markov,N:,3,t:,0,g:,0.015,pingjunzhi:,1.48958E-07
markov,N:,3,t:,0,g:,0.02,pingjunzhi:,3.05969E-07
markov,N:,3,t:,0,g:,0.025,pingjunzhi:,4.02850E-07
markov,N:,3,t:,0,g:,0.03,pingjunzhi:,6.54311E-07
markov,N:,3,t:,0,g:,0.035,pingjunzhi:,8.44119E-07
markov,N:,3,t:,0,g:,0.04,pingjunzhi:,1.02729E-06
markov,N:,3,t:,0,g:,0.045,pingjunzhi:,1.42024E-06
markov,N:,3,t:,0,g:,0.05,pingjunzhi:,1.74996E-06
markov,N:,3,t:,0,g:,0.055,pingjunzhi:,2.05083E-06
markov,N:,3,t:,0,g:,0.06,pingjunzhi:,2.73365E-06
markov,N:,3,t:,0,g:,0.065,pingjunzhi:,3.02150E-06
markov,N:,3,t:,0,g:,0.07,pingjunzhi:,3.36507E-06
markov,N:,3,t:,0,g:,0.075,pingjunzhi:,3.89781E-06
markov,N:,3,t:,0,g:,0.08,pingjunzhi:,4.34661E-06
markov,N:,3,t:,0,g:,0.085,pingjunzhi:,4.60711E-06
markov,N:,3,t:,0,g:,0.09,pingjunzhi:,5.37481E-06
markov,N:,3,t:,0,g:,0.095,pingjunzhi:,6.14528E-06
markov,N:,3,t:,0,g:,0.1,pingjunzhi:,7.67227E-06
markov,N:,3,t:,0,g:,0.105,pingjunzhi:,6.71875E-06
markov,N:,3,t:,0,g:,0.11,pingjunzhi:,8.62756E-06
markov,N:,3,t:,0,g:,0.115,pingjunzhi:,9.51647E-06
markov,N:,3,t:,0,g:,0.12,pingjunzhi:,1.06182E-05
markov,N:,3,t:,0,g:,0.125,pingjunzhi:,1.19490E-05
markov,N:,3,t:,0,g:,0.13,pingjunzhi:,1.16259E-05
markov,N:,3,t:,0,g:,0.135,pingjunzhi:,1.36032E-05
markov,N:,3,t:,0,g:,0.14,pingjunzhi:,1.61902E-05
markov,N:,3,t:,0,g:,0.145,pingjunzhi:,1.54427E-05
markov,N:,3,t:,0,g:,0.15,pingjunzhi:,1.53365E-05
markov,N:,3,t:,0,g:,0.155,pingjunzhi:,1.79404E-05
markov,N:,3,t:,0,g:,0.16,pingjunzhi:,1.87589E-05
markov,N:,3,t:,0,g:,0.165,pingjunzhi:,2.12156E-05
markov,N:,3,t:,0,g:,0.17,pingjunzhi:,1.91458E-05
markov,N:,3,t:,0,g:,0.175,pingjunzhi:,2.25668E-05
markov,N:,3,t:,0,g:,0.18,pingjunzhi:,2.13394E-05
markov,N:,3,t:,0,g:,0.185,pingjunzhi:,2.59954E-05
markov,N:,3,t:,0,g:,0.19,pingjunzhi:,2.66255E-05
markov,N:,3,t:,0,g:,0.195,pingjunzhi:,2.32694E-05
markov,N:,3,t:,0,g:,0.2,pingjunzhi:,3.03020E-05
markov,N:,3,t:,0,g:,0.205,pingjunzhi:,3.33973E-05
markov,N:,3,t:,0,g:,0.21,pingjunzhi:,3.04514E-05
markov,N:,3,t:,0,g:,0.215,pingjunzhi:,3.01536E-05
markov,N:,3,t:,0,g:,0.22,pingjunzhi:,3.82617E-05
markov,N:,3,t:,0,g:,0.225,pingjunzhi:,3.37323E-05
markov,N:,3,t:,0,g:,0.23,pingjunzhi:,3.81765E-05
markov,N:,3,t:,0,g:,0.235,pingjunzhi:,4.03657E-05
markov,N:,3,t:,0,g:,0.24,pingjunzhi:,4.05275E-05
markov,N:,3,t:,0,g:,0.245,pingjunzhi:,4.14226E-05
markov,N:,3,t:,0,g:,0.25,pingjunzhi:,4.44033E-05
markov,N:,3,t:,0,g:,0.255,pingjunzhi:,4.83035E-05
markov,N:,3,t:,0,g:,0.26,pingjunzhi:,4.70292E-05
markov,N:,3,t:,0,g:,0.265,pingjunzhi:,5.08881E-05
markov,N:,3,t:,0,g:,0.27,pingjunzhi:,5.23949E-05
markov,N:,3,t:,0,g:,0.275,pingjunzhi:,5.50585E-05
markov,N:,3,t:,0,g:,0.28,pingjunzhi:,5.37920E-05
markov,N:,3,t:,0,g:,0.285,pingjunzhi:,5.20167E-05
markov,N:,3,t:,0,g:,0.29,pingjunzhi:,5.42512E-05
markov,N:,3,t:,0,g:,0.295,pingjunzhi:,6.02216E-05
markov,N:,3,t:,0,g:,0.3,pingjunzhi:,5.58757E-05
markov,N:,3,t:,0,g:,0.305,pingjunzhi:,6.24402E-05
markov,N:,3,t:,0,g:,0.31,pingjunzhi:,7.03147E-05
markov,N:,3,t:,0,g:,0.315,pingjunzhi:,6.44127E-05
markov,N:,3,t:,0,g:,0.32,pingjunzhi:,7.25908E-05
markov,N:,3,t:,0,g:,0.325,pingjunzhi:,7.56161E-05
markov,N:,3,t:,0,g:,0.33,pingjunzhi:,7.66541E-05
markov,N:,3,t:,0,g:,0.335,pingjunzhi:,8.22127E-05
markov,N:,3,t:,0,g:,0.34,pingjunzhi:,8.93343E-05
markov,N:,3,t:,0,g:,0.345,pingjunzhi:,8.55434E-05
markov,N:,3,t:,0,g:,0.35,pingjunzhi:,9.01497E-05
markov,N:,3,t:,0,g:,0.355,pingjunzhi:,9.67554E-05
