1,2,3,4,5,6,7,8,9,10,value
non-markov,N:,3,t:,0,g:,0,phi:,0,pingjunzhi:,3.66E-06
non-markov,N:,3,t:,0,g:,0,phi:,0.004,pingjunzhi:,4.20E-06
non-markov,N:,3,t:,0,g:,0,phi:,0.008,pingjunzhi:,5.69E-06
non-markov,N:,3,t:,0,g:,0,phi:,0.012,pingjunzhi:,8.16E-06
non-markov,N:,3,t:,0,g:,0,phi:,0.016,pingjunzhi:,1.22E-05
non-markov,N:,3,t:,0,g:,0,phi:,0.02,pingjunzhi:,1.67E-05
non-markov,N:,3,t:,0,g:,0,phi:,0.024,pingjunzhi:,2.51E-05
non-markov,N:,3,t:,0,g:,0,phi:,0.028,pingjunzhi:,3.41E-05
non-markov,N:,3,t:,0,g:,0,phi:,0.032,pingjunzhi:,3.75E-05
non-markov,N:,3,t:,0,g:,0,phi:,0.036,pingjunzhi:,4.35E-05
non-markov,N:,3,t:,0,g:,0,phi:,0.04,pingjunzhi:,6.60E-05
non-markov,N:,3,t:,0,g:,0,phi:,0.044,pingjunzhi:,8.08E-05
non-markov,N:,3,t:,0,g:,0,phi:,0.048,pingjunzhi:,8.39E-05
non-markov,N:,3,t:,0,g:,0,phi:,0.052,pingjunzhi:,9.06E-05
non-markov,N:,3,t:,0,g:,0,phi:,0.056,pingjunzhi:,0.000103378
non-markov,N:,3,t:,0,g:,0,phi:,0.06,pingjunzhi:,0.000114355
non-markov,N:,3,t:,0,g:,0,phi:,0.064,pingjunzhi:,0.000134881
non-markov,N:,3,t:,0,g:,0,phi:,0.068,pingjunzhi:,0.000191613
non-markov,N:,3,t:,0,g:,0,phi:,0.072,pingjunzhi:,0.000156175
non-markov,N:,3,t:,0,g:,0,phi:,0.076,pingjunzhi:,0.000194355
non-markov,N:,3,t:,0,g:,0,phi:,0.08,pingjunzhi:,0.000254701
non-markov,N:,3,t:,0,g:,0,phi:,0.084,pingjunzhi:,0.000225793
non-markov,N:,3,t:,0,g:,0,phi:,0.088,pingjunzhi:,0.000256783
non-markov,N:,3,t:,0,g:,0,phi:,0.092,pingjunzhi:,0.000275393
non-markov,N:,3,t:,0,g:,0,phi:,0.096,pingjunzhi:,0.000287221
non-markov,N:,3,t:,0,g:,0,phi:,0.1,pingjunzhi:,0.000344097
non-markov,N:,3,t:,0,g:,0,phi:,0.104,pingjunzhi:,0.000311942
non-markov,N:,3,t:,0,g:,0,phi:,0.108,pingjunzhi:,0.000308403
non-markov,N:,3,t:,0,g:,0,phi:,0.112,pingjunzhi:,0.000432503
non-markov,N:,3,t:,0,g:,0,phi:,0.116,pingjunzhi:,0.000470738
non-markov,N:,3,t:,0,g:,0,phi:,0.12,pingjunzhi:,0.000451417
non-markov,N:,3,t:,0,g:,0,phi:,0.124,pingjunzhi:,0.000503772
non-markov,N:,3,t:,0,g:,0,phi:,0.128,pingjunzhi:,0.000526133
non-markov,N:,3,t:,0,g:,0,phi:,0.132,pingjunzhi:,0.000595097
non-markov,N:,3,t:,0,g:,0,phi:,0.136,pingjunzhi:,0.000640145
non-markov,N:,3,t:,0,g:,0,phi:,0.14,pingjunzhi:,0.000578806
non-markov,N:,3,t:,0,g:,0,phi:,0.144,pingjunzhi:,0.000703631
non-markov,N:,3,t:,0,g:,0,phi:,0.148,pingjunzhi:,0.0007377
non-markov,N:,3,t:,0,g:,0,phi:,0.152,pingjunzhi:,0.000826776
non-markov,N:,3,t:,0,g:,0,phi:,0.156,pingjunzhi:,0.00069326
non-markov,N:,3,t:,0,g:,0,phi:,0.16,pingjunzhi:,0.000899187
non-markov,N:,3,t:,0,g:,0,phi:,0.164,pingjunzhi:,0.000778439
non-markov,N:,3,t:,0,g:,0,phi:,0.168,pingjunzhi:,0.000985065
non-markov,N:,3,t:,0,g:,0,phi:,0.172,pingjunzhi:,0.000997589
