col1,col2,col3,col4,t,col6,g,col8,col_value
non-markov,N:,3,t:,0,g:,0,pingjunzhi:,3.66412E-06
non-markov,N:,3,t:,0,g:,0.004,pingjunzhi:,4.28142E-06
non-markov,N:,3,t:,0,g:,0.008,pingjunzhi:,5.10627E-06
non-markov,N:,3,t:,0,g:,0.012,pingjunzhi:,6.27755E-06
non-markov,N:,3,t:,0,g:,0.016,pingjunzhi:,7.81461E-06
non-markov,N:,3,t:,0,g:,0.02,pingjunzhi:,1.0848E-05
non-markov,N:,3,t:,0,g:,0.024,pingjunzhi:,1.44708E-05
non-markov,N:,3,t:,0,g:,0.028,pingjunzhi:,1.77565E-05
non-markov,N:,3,t:,0,g:,0.032,pingjunzhi:,2.00741E-05
non-markov,N:,3,t:,0,g:,0.036,pingjunzhi:,2.54496E-05
non-markov,N:,3,t:,0,g:,0.04,pingjunzhi:,3.24938E-05
non-markov,N:,3,t:,0,g:,0.044,pingjunzhi:,4.41403E-05
non-markov,N:,3,t:,0,g:,0.048,pingjunzhi:,4.5154E-05
non-markov,N:,3,t:,0,g:,0.052,pingjunzhi:,5.66519E-05
non-markov,N:,3,t:,0,g:,0.056,pingjunzhi:,6.71957E-05
non-markov,N:,3,t:,0,g:,0.06,pingjunzhi:,7.20509E-05
non-markov,N:,3,t:,0,g:,0.064,pingjunzhi:,8.40006E-05
non-markov,N:,3,t:,0,g:,0.068,pingjunzhi:,9.86138E-05
non-markov,N:,3,t:,0,g:,0.072,pingjunzhi:,0.000108856
non-markov,N:,3,t:,0,g:,0.076,pingjunzhi:,0.000124039
non-markov,N:,3,t:,0,g:,0.08,pingjunzhi:,0.000128197
non-markov,N:,3,t:,0,g:,0.084,pingjunzhi:,0.000119927
non-markov,N:,3,t:,0,g:,0.088,pingjunzhi:,0.000165073
non-markov,N:,3,t:,0,g:,0.092,pingjunzhi:,0.0001993
non-markov,N:,3,t:,0,g:,0.096,pingjunzhi:,0.00018417
non-markov,N:,3,t:,0,g:,0.1,pingjunzhi:,0.000215736
non-markov,N:,3,t:,0,g:,0.104,pingjunzhi:,0.000275185
non-markov,N:,3,t:,0,g:,0.108,pingjunzhi:,0.000282792
non-markov,N:,3,t:,0,g:,0.112,pingjunzhi:,0.00024524
non-markov,N:,3,t:,0,g:,0.116,pingjunzhi:,0.000293084
non-markov,N:,3,t:,0,g:,0.12,pingjunzhi:,0.000360374
non-markov,N:,3,t:,0,g:,0.124,pingjunzhi:,0.000328976
non-markov,N:,3,t:,0,g:,0.128,pingjunzhi:,0.000349585
non-markov,N:,3,t:,0,g:,0.132,pingjunzhi:,0.000417775
non-markov,N:,3,t:,0,g:,0.136,pingjunzhi:,0.000412157
non-markov,N:,3,t:,0,g:,0.14,pingjunzhi:,0.000435398
non-markov,N:,3,t:,0,g:,0.144,pingjunzhi:,0.000370157
non-markov,N:,3,t:,0,g:,0.148,pingjunzhi:,0.000583925
non-markov,N:,3,t:,0,g:,0.152,pingjunzhi:,0.00046374
non-markov,N:,3,t:,0,g:,0.156,pingjunzhi:,0.000598964
non-markov,N:,3,t:,0,g:,0.16,pingjunzhi:,0.000668994
non-markov,N:,3,t:,0,g:,0.164,pingjunzhi:,0.000582232
non-markov,N:,3,t:,0,g:,0.168,pingjunzhi:,0.000497169
non-markov,N:,3,t:,0,g:,0.172,pingjunzhi:,0.000721538
non-markov,N:,3,t:,0,g:,0.176,pingjunzhi:,0.000763777
non-markov,N:,3,t:,0,g:,0.18,pingjunzhi:,0.000699635
non-markov,N:,3,t:,0,g:,0.184,pingjunzhi:,0.000656612
non-markov,N:,3,t:,0,g:,0.188,pingjunzhi:,0.000859919
non-markov,N:,3,t:,0,g:,0.192,pingjunzhi:,0.000916565
non-markov,N:,3,t:,0,g:,0.196,pingjunzhi:,0.000864612
non-markov,N:,3,t:,0,g:,0.2,pingjunzhi:,0.000932331
non-markov,N:,3,t:,0,g:,0.204,pingjunzhi:,0.000957943
non-markov,N:,3,t:,0,g:,0.208,pingjunzhi:,0.000922137
non-markov,N:,3,t:,0,g:,0.212,pingjunzhi:,0.001017969
non-markov,N:,3,t:,0,g:,0.216,pingjunzhi:,0.001068633
non-markov,N:,3,t:,0,g:,0.22,pingjunzhi:,0.001102807
non-markov,N:,3,t:,0,g:,0.224,pingjunzhi:,0.00103945
non-markov,N:,3,t:,0,g:,0.228,pingjunzhi:,0.001405235
non-markov,N:,3,t:,0,g:,0.232,pingjunzhi:,0.001327184
non-markov,N:,3,t:,0,g:,0.236,pingjunzhi:,0.001209785
non-markov,N:,3,t:,0,g:,0.24,pingjunzhi:,0.001298773
non-markov,N:,3,t:,0,g:,0.244,pingjunzhi:,0.001214733
non-markov,N:,3,t:,0,g:,0.248,pingjunzhi:,0.00130891
non-markov,N:,3,t:,0,g:,0.252,pingjunzhi:,0.001756932
non-markov,N:,3,t:,0,g:,0.256,pingjunzhi:,0.001478261
non-markov,N:,3,t:,0,g:,0.26,pingjunzhi:,0.001428227
non-markov,N:,3,t:,0,g:,0.264,pingjunzhi:,0.001421085
non-markov,N:,3,t:,0,g:,0.268,pingjunzhi:,0.001294157
non-markov,N:,3,t:,0,g:,0.272,pingjunzhi:,0.0016751
non-markov,N:,3,t:,0,g:,0.276,pingjunzhi:,0.00201764
non-markov,N:,3,t:,0,g:,0.28,pingjunzhi:,0.00145165
non-markov,N:,3,t:,0,g:,0.284,pingjunzhi:,0.002225241
non-markov,N:,3,t:,0,g:,0.288,pingjunzhi:,0.002055111
non-markov,N:,3,t:,0,g:,0.292,pingjunzhi:,0.001687431
non-markov,N:,3,t:,0,g:,0.296,pingjunzhi:,0.00212092
non-markov,N:,3,t:,0,g:,0.3,pingjunzhi:,0.002179412
non-markov,N:,3,t:,0,g:,0.304,pingjunzhi:,0.0021498
non-markov,N:,3,t:,0,g:,0.308,pingjunzhi:,0.002783556
non-markov,N:,3,t:,0,g:,0.312,pingjunzhi:,0.002217205
non-markov,N:,3,t:,0,g:,0.316,pingjunzhi:,0.002350063
non-markov,N:,3,t:,0,g:,0.32,pingjunzhi:,0.002648244
non-markov,N:,3,t:,0,g:,0.324,pingjunzhi:,0.002289487
non-markov,N:,3,t:,0,g:,0.328,pingjunzhi:,0.002614583
non-markov,N:,3,t:,0,g:,0.332,pingjunzhi:,0.001745832
non-markov,N:,3,t:,0,g:,0.336,pingjunzhi:,0.002043484
non-markov,N:,3,t:,0,g:,0.34,pingjunzhi:,0.00269391
non-markov,N:,3,t:,0,g:,0.344,pingjunzhi:,0.00223358
non-markov,N:,3,t:,0,g:,0.348,pingjunzhi:,0.002630205
non-markov,N:,3,t:,0,g:,0.352,pingjunzhi:,0.002629616
non-markov,N:,3,t:,0,g:,0.356,pingjunzhi:,0.002531679
non-markov,N:,3,t:,0,g:,0.36,pingjunzhi:,0.002329488
non-markov,N:,3,t:,0,g:,0.364,pingjunzhi:,0.002996242
non-markov,N:,3,t:,0,g:,0.368,pingjunzhi:,0.003213093
non-markov,N:,3,t:,0,g:,0.372,pingjunzhi:,0.002154175
non-markov,N:,3,t:,0,g:,0.376,pingjunzhi:,0.002856277
non-markov,N:,3,t:,0,g:,0.38,pingjunzhi:,0.002427662
non-markov,N:,3,t:,0,g:,0.384,pingjunzhi:,0.003168798
non-markov,N:,3,t:,0,g:,0.388,pingjunzhi:,0.003003099
non-markov,N:,3,t:,0,g:,0.392,pingjunzhi:,0.003750914
non-markov,N:,3,t:,0,g:,0.396,pingjunzhi:,0.002820966
non-markov,N:,3,t:,0,g:,0.4,pingjunzhi:,0.004346209
non-markov,N:,3,t:,0.004,g:,0,pingjunzhi:,5.43087E-05
non-markov,N:,3,t:,0.004,g:,0.004,pingjunzhi:,5.7537E-05
non-markov,N:,3,t:,0.004,g:,0.008,pingjunzhi:,5.84943E-05
non-markov,N:,3,t:,0.004,g:,0.012,pingjunzhi:,5.99831E-05
non-markov,N:,3,t:,0.004,g:,0.016,pingjunzhi:,4.95053E-05
non-markov,N:,3,t:,0.004,g:,0.02,pingjunzhi:,6.3842E-05
non-markov,N:,3,t:,0.004,g:,0.024,pingjunzhi:,7.24522E-05
non-markov,N:,3,t:,0.004,g:,0.028,pingjunzhi:,6.40782E-05
non-markov,N:,3,t:,0.004,g:,0.032,pingjunzhi:,7.39713E-05
non-markov,N:,3,t:,0.004,g:,0.036,pingjunzhi:,6.79554E-05
non-markov,N:,3,t:,0.004,g:,0.04,pingjunzhi:,8.09037E-05
non-markov,N:,3,t:,0.004,g:,0.044,pingjunzhi:,0.000102754
non-markov,N:,3,t:,0.004,g:,0.048,pingjunzhi:,0.00010829
non-markov,N:,3,t:,0.004,g:,0.052,pingjunzhi:,8.00497E-05
non-markov,N:,3,t:,0.004,g:,0.056,pingjunzhi:,0.000106682
non-markov,N:,3,t:,0.004,g:,0.06,pingjunzhi:,0.000109562
non-markov,N:,3,t:,0.004,g:,0.064,pingjunzhi:,0.000127191
non-markov,N:,3,t:,0.004,g:,0.068,pingjunzhi:,0.000163323
non-markov,N:,3,t:,0.004,g:,0.072,pingjunzhi:,0.000153739
non-markov,N:,3,t:,0.004,g:,0.076,pingjunzhi:,0.000190922
non-markov,N:,3,t:,0.004,g:,0.08,pingjunzhi:,0.000167946
non-markov,N:,3,t:,0.004,g:,0.084,pingjunzhi:,0.000215829
non-markov,N:,3,t:,0.004,g:,0.088,pingjunzhi:,0.000191046
non-markov,N:,3,t:,0.004,g:,0.092,pingjunzhi:,0.000210048
non-markov,N:,3,t:,0.004,g:,0.096,pingjunzhi:,0.000314102
non-markov,N:,3,t:,0.004,g:,0.1,pingjunzhi:,0.000297461
non-markov,N:,3,t:,0.004,g:,0.104,pingjunzhi:,0.000310215
non-markov,N:,3,t:,0.004,g:,0.108,pingjunzhi:,0.000373354
non-markov,N:,3,t:,0.004,g:,0.112,pingjunzhi:,0.00030773
non-markov,N:,3,t:,0.004,g:,0.116,pingjunzhi:,0.000280825
non-markov,N:,3,t:,0.004,g:,0.12,pingjunzhi:,0.00032203
non-markov,N:,3,t:,0.004,g:,0.124,pingjunzhi:,0.000494598
non-markov,N:,3,t:,0.004,g:,0.128,pingjunzhi:,0.000358301
non-markov,N:,3,t:,0.004,g:,0.132,pingjunzhi:,0.000479714
non-markov,N:,3,t:,0.004,g:,0.136,pingjunzhi:,0.000384494
non-markov,N:,3,t:,0.004,g:,0.14,pingjunzhi:,0.000424014
non-markov,N:,3,t:,0.004,g:,0.144,pingjunzhi:,0.000452257
non-markov,N:,3,t:,0.004,g:,0.148,pingjunzhi:,0.000486592
non-markov,N:,3,t:,0.004,g:,0.152,pingjunzhi:,0.000531586
non-markov,N:,3,t:,0.004,g:,0.156,pingjunzhi:,0.000726863
non-markov,N:,3,t:,0.004,g:,0.16,pingjunzhi:,0.000621379
non-markov,N:,3,t:,0.004,g:,0.164,pingjunzhi:,0.000679334
non-markov,N:,3,t:,0.004,g:,0.168,pingjunzhi:,0.000552306
non-markov,N:,3,t:,0.004,g:,0.172,pingjunzhi:,0.00072977
non-markov,N:,3,t:,0.004,g:,0.176,pingjunzhi:,0.000744336
non-markov,N:,3,t:,0.004,g:,0.18,pingjunzhi:,0.000826541
non-markov,N:,3,t:,0.004,g:,0.184,pingjunzhi:,0.000813761
non-markov,N:,3,t:,0.004,g:,0.188,pingjunzhi:,0.000891433
non-markov,N:,3,t:,0.004,g:,0.192,pingjunzhi:,0.00101276
non-markov,N:,3,t:,0.004,g:,0.196,pingjunzhi:,0.000678603
non-markov,N:,3,t:,0.004,g:,0.2,pingjunzhi:,0.000859546
non-markov,N:,3,t:,0.004,g:,0.204,pingjunzhi:,0.001036187
non-markov,N:,3,t:,0.004,g:,0.208,pingjunzhi:,0.001202285
non-markov,N:,3,t:,0.004,g:,0.212,pingjunzhi:,0.001091802
non-markov,N:,3,t:,0.004,g:,0.216,pingjunzhi:,0.001185388
non-markov,N:,3,t:,0.004,g:,0.22,pingjunzhi:,0.00110774
non-markov,N:,3,t:,0.004,g:,0.224,pingjunzhi:,0.001039589
non-markov,N:,3,t:,0.004,g:,0.228,pingjunzhi:,0.001223801
non-markov,N:,3,t:,0.004,g:,0.232,pingjunzhi:,0.001205284
non-markov,N:,3,t:,0.004,g:,0.236,pingjunzhi:,0.001321377
non-markov,N:,3,t:,0.004,g:,0.24,pingjunzhi:,0.00143518
non-markov,N:,3,t:,0.004,g:,0.244,pingjunzhi:,0.001599311
